"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\Flutter Projects\findseat\lib\app\auth_bloc\authentication_bloc.dart", "Dart", 40, 0, 7, 47
"c:\Projects\Flutter Projects\findseat\lib\app\auth_bloc\authentication_event.dart", "Dart", 8, 0, 5, 13
"c:\Projects\Flutter Projects\findseat\lib\app\auth_bloc\authentication_state.dart", "Dart", 18, 0, 9, 27
"c:\Projects\Flutter Projects\findseat\lib\app\auth_bloc\bloc.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\app\bloc_observer.dart", "Dart", 23, 0, 4, 27
"c:\Projects\Flutter Projects\findseat\lib\app\my_app.dart", "Dart", 70, 0, 10, 80
"c:\Projects\Flutter Projects\findseat\lib\app_config.dart", "Dart", 19, 0, 5, 24
"c:\Projects\Flutter Projects\findseat\lib\main_dev.dart", "Dart", 15, 0, 4, 19
"c:\Projects\Flutter Projects\findseat\lib\main_prod.dart", "Dart", 13, 0, 4, 17
"c:\Projects\Flutter Projects\findseat\lib\model\barrel_model.dart", "Dart", 4, 0, 1, 5
"c:\Projects\Flutter Projects\findseat\lib\model\entity\cine.dart", "Dart", 76, 0, 3, 79
"c:\Projects\Flutter Projects\findseat\lib\model\entity\distance_filter.dart", "Dart", 11, 0, 2, 13
"c:\Projects\Flutter Projects\findseat\lib\model\entity\seat_row.dart", "Dart", 13, 1, 3, 17
"c:\Projects\Flutter Projects\findseat\lib\model\entity\seat_slot.dart", "Dart", 7, 0, 2, 9
"c:\Projects\Flutter Projects\findseat\lib\model\entity\seat_type.dart", "Dart", 7, 0, 4, 11
"c:\Projects\Flutter Projects\findseat\lib\model\repo\user_repository.dart", "Dart", 39, 0, 10, 49
"c:\Projects\Flutter Projects\findseat\lib\presentation\app_router.dart", "Dart", 55, 0, 3, 58
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\barrel_common_widgets.dart", "Dart", 5, 0, 1, 6
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\widget_btn_back.dart", "Dart", 22, 0, 4, 26
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\widget_home_poster.dart", "Dart", 104, 0, 13, 117
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\widget_logo_findseat.dart", "Dart", 12, 0, 2, 14
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\widget_spacer.dart", "Dart", 15, 0, 4, 19
"c:\Projects\Flutter Projects\findseat\lib\presentation\common_widgets\widget_toolbar.dart", "Dart", 56, 0, 6, 62
"c:\Projects\Flutter Projects\findseat\lib\presentation\custom_ui\custom_ui.dart", "Dart", 4, 0, 1, 5
"c:\Projects\Flutter Projects\findseat\lib\presentation\custom_ui\hex_color.dart", "Dart", 11, 0, 3, 14
"c:\Projects\Flutter Projects\findseat\lib\presentation\custom_ui\hoz_list_view.dart", "Dart", 36, 0, 7, 43
"c:\Projects\Flutter Projects\findseat\lib\presentation\custom_ui\rounded_rect_indicator.dart", "Dart", 40, 1, 9, 50
"c:\Projects\Flutter Projects\findseat\lib\presentation\custom_ui\svg_image.dart", "Dart", 30, 0, 4, 34
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\all_shows\barrel_all_shows.dart", "Dart", 4, 0, 1, 5
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\all_shows\list_shows\widget_list_shows.dart", "Dart", 70, 0, 10, 80
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\all_shows\sc_all_shows.dart", "Dart", 21, 0, 2, 23
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\all_shows\widget_all_shows_toolbar.dart", "Dart", 48, 0, 3, 51
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\all_shows\widget_show_gallery.dart", "Dart", 86, 0, 10, 96
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\barrel_booking.dart", "Dart", 2, 0, 1, 3
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_slot\barrel_book_seat_slot.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_slot\sc_book_seat_slot.dart", "Dart", 177, 0, 11, 188
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_slot\widget_cine_screen.dart", "Dart", 77, 0, 12, 89
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_slot\widget_item_grid_seat_slot.dart", "Dart", 115, 3, 22, 140
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_type\barrel_book_seat_type.dart", "Dart", 2, 0, 1, 3
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_type\sc_book_seat_type.dart", "Dart", 79, 0, 7, 86
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_type\widget_how_many_seats.dart", "Dart", 150, 2, 15, 167
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_seat_type\widget_seat_type.dart", "Dart", 13, 0, 3, 16
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_time_slot\sc_book_time_slot.dart", "Dart", 152, 0, 9, 161
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\booking\book_time_slot\widget_cine_timeslot.dart", "Dart", 148, 1, 16, 165
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_date_picker\barrel_cine_date_picker.dart", "Dart", 3, 0, 2, 5
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_date_picker\sc_cine_date_picker.dart", "Dart", 91, 0, 12, 103
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_date_picker\widget_item_week.dart", "Dart", 89, 0, 10, 99
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_date_picker\widget_list_date_label.dart", "Dart", 31, 0, 3, 34
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_location\barrel_cine_location.dart", "Dart", 2, 0, 1, 3
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_location\sc_cine_location.dart", "Dart", 134, 0, 8, 142
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\cine_location\widget_cine_on_map.dart", "Dart", 56, 0, 14, 70
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\barrel_home.dart", "Dart", 7, 0, 1, 8
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\sc_home.dart", "Dart", 31, 0, 3, 34
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_home_banner.dart", "Dart", 12, 0, 2, 14
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_home_categories.dart", "Dart", 86, 0, 11, 97
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_home_events.dart", "Dart", 22, 0, 3, 25
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_home_plays.dart", "Dart", 22, 0, 2, 24
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_home_toolbar.dart", "Dart", 90, 0, 7, 97
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_nearby_theatres.dart", "Dart", 97, 0, 17, 114
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\home\widget_recommended_seats.dart", "Dart", 98, 0, 11, 109
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\list_all_cine\barrel_list_all_cine.dart", "Dart", 5, 0, 1, 6
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\list_all_cine\sc_list_all_cine.dart", "Dart", 88, 0, 13, 101
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\list_all_cine\widget_cine_on_map_result.dart", "Dart", 69, 0, 18, 87
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\list_all_cine\widget_distance_filter.dart", "Dart", 51, 0, 7, 58
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\list_all_cine\widget_list_cine_result.dart", "Dart", 89, 0, 8, 97
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\barrel_login.dart", "Dart", 4, 0, 1, 5
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\bloc\bloc.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\bloc\login_bloc.dart", "Dart", 33, 0, 8, 41
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\bloc\login_event.dart", "Dart", 12, 0, 5, 17
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\bloc\login_state.dart", "Dart", 18, 0, 9, 27
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\sc_login.dart", "Dart", 30, 0, 6, 36
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_bottom_signup.dart", "Dart", 44, 0, 2, 46
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_btn_facebook.dart", "Dart", 37, 0, 2, 39
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_btn_google.dart", "Dart", 37, 0, 2, 39
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_login_form.dart", "Dart", 216, 0, 13, 229
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_top_welcome.dart", "Dart", 21, 0, 2, 23
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\payment_method_picker\barrel_payment_method_picker.dart", "Dart", 1, 0, 1, 2
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\payment_method_picker\sc_payment_method_picker.dart", "Dart", 104, 0, 8, 112
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\barrel_register.dart", "Dart", 1, 0, 1, 2
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\bloc.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_bloc.dart", "Dart", 56, 0, 14, 70
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_event.dart", "Dart", 37, 0, 16, 53
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_state.dart", "Dart", 81, 0, 11, 92
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\sc_register.dart", "Dart", 150, 0, 19, 169
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\barrel_show_info.dart", "Dart", 6, 0, 1, 7
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\sc_show_info.dart", "Dart", 69, 0, 5, 74
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_offers.dart", "Dart", 107, 0, 6, 113
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_casts.dart", "Dart", 91, 0, 8, 99
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_desc.dart", "Dart", 114, 0, 7, 121
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_review.dart", "Dart", 63, 0, 2, 65
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_trailer.dart", "Dart", 39, 0, 2, 41
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\splash\sc_splash.dart", "Dart", 33, 1, 7, 41
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\COLOR_CONST.dart", "Dart", 44, 0, 4, 48
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\FONT_CONST.dart", "Dart", 83, 4, 23, 110
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\UI_CONST.dart", "Dart", 2, 0, 2, 4
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\my_const.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\utils\validators.dart", "Dart", 14, 0, 3, 17
"Total", "-", 4632, 13, 602, 5247